id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
188347,Clean & Cozy room in The Baarsjes,907405,Yahav,,De Baarsjes - Oud-West,52.3683,4.85446,Private room,40,1,369,2021-07-17,2.86,1,0,3,0363 7C68 38F7 176D 8CDF
189754,Metropolitan B&B centre Amsterdam,915591,Marijn,,Centrum-West,52.37548,4.89398,Entire home/apt,143,2,216,2022-03-06,1.69,1,158,30,0363 08BD B22D FCC2 5F83
193038,Private Loft&Bathroom  Ensuite Studio Ctr Amsterda,935742,Johan,,Centrum-Oost,52.36057,4.89671,Private room,98,3,627,2022-03-13,4.88,1,16,29,0363 E04C 4DED 8CA7 F902
214531,LUXURIOUS GUESTHOUSE in CITY CENTER,1107389,Henry,,Centrum-West,52.37169,4.89446,Private room,115,3,170,2022-02-27,1.35,1,0,2,0363 1939 7BED DDCD 0353
219276,Suite in Canalhouse in the heart of the center,1135329,Amsterdam Boutique Apartments,,Centrum-West,52.36883,4.88749,Private room,265,2,12,2021-11-01,0.10,1,97,2,0363 1179 146A FBDB 79FC
222516,Cosy apartment in West | Quiet street | Netflix,1155595,Alex,,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,110,7,135,2021-04-08,1.07,1,15,2,0363 6ADC 900E 6878 AC7C
226121,Luxury apartment in trendy neighborhood,1178877,Eric,,De Baarsjes - Oud-West,52.36138,4.86717,Entire home/apt,135,5,95,2020-09-02,0.74,1,158,0,0363 DED1 885D EADD 970C
245927,Sonnenberg - Canal side & view - Private & Central,1005087,Wytse,,Centrum-West,52.36815,4.88604,Entire home/apt,321,2,133,2022-02-17,1.11,1,230,29,0363 E3FA A6F6 2112 7636
247805,"Bellavista, central,with canal view",1298735,Carolien,,De Baarsjes - Oud-West,52.36707,4.87348,Private room,122,2,348,2021-11-30,2.77,1,254,5,0363 157A 14AF 5451 77C3
252080,Amazing apartment historical centre,1322517,Evan,,Centrum-Oost,52.36936,4.90963,Entire home/apt,385,4,11,2019-10-26,0.09,1,66,0,0363 4B98 6C27 7CA6 62B9
254800,Amazing apartment in city center,1337537,Dj,,Centrum-West,52.37122,4.88211,Entire home/apt,296,2,57,2022-02-09,0.53,1,193,8,0363 7E3F 1742 B05C 9E62
255809,stylish apartment free car parking and 2 bikes,1344947,F.M.,,De Pijp - Rivierenbuurt,52.34416,4.88709,Private room,150,2,108,2022-02-27,0.90,1,315,18,0363 A842 020A 9193 B416
262394,Charming Studio with Roof Terrace,1376607,Martin,,Zuid,52.35695,4.85234,Private room,88,3,113,2019-10-07,0.93,1,0,0,0363 B86D 98DE 3A24 8790
274688,Cozy sleeping in popular Amsterdam West,1435990,Marij,,Bos en Lommer,52.37977,4.85574,Entire home/apt,88,4,43,2019-08-10,0.35,1,5,0,0363 04FA C38F 7362 8C6D
283170,5-bedrooms house; central location,1451657,Marco,,Zuid,52.35435,4.87316,Entire home/apt,736,2,110,2021-11-14,0.91,1,256,1,0363 0240 34A0 48C3 6D81
286500,"Centre, canal view with private bathroom",1491565,David,,Centrum-West,52.37561,4.9,Private room,120,3,311,2022-03-03,2.53,2,261,31,0363 DF01 FBC0 496B 9730
290701,"Central, big window, rear room with private bath.",1491565,David,,Centrum-West,52.37561,4.9,Private room,120,3,360,2022-02-17,2.94,2,270,36,0363 DF01 FBC0 496B 9730
291752,Cozy & large bohemian style room,1511330,Ton,,Oud-Oost,52.35179,4.91082,Private room,105,3,209,2020-03-12,1.69,1,251,0,0363 6ACC BA1B 12A9 60C1
297220,Modern apartment + rooftop terrace @city centre,1532319,Anand,,De Pijp - Rivierenbuurt,52.35784,4.90206,Entire home/apt,145,16,92,2021-09-19,0.74,1,158,2,0363 C5CF A3A1 5C2B F6DF
304082,Quiet studio in the heart of town with Garden!,276068,Mirre,,Centrum-West,52.37239,4.89657,Private room,108,2,154,2022-02-21,1.27,1,285,47,0363 6C40 7413 ADD3 9AF8
304143,Unique Beautiful Houseboat (ship) in Center,1565319,Dick,,Oud-Oost,52.3623,4.92028,Entire home/apt,95,3,52,2020-03-07,0.42,1,0,0,0363AF9644094CEBCE6B
306852,"SunShine, A Sunny Amsterdam Center Special",1141485,Gisèle And Simon,,Centrum-Oost,52.35931,4.89844,Entire home/apt,200,4,27,2021-10-03,0.23,3,9,6,0363 33C3 B936 3911 FC42
307497,Sailing ship group stays in Amsterdam,1582128,Jorn,,Centrum-Oost,52.36733,4.92055,Entire home/apt,911,2,100,2021-12-12,0.87,2,245,1,Exempt
307621,"SunBird, Sunny Apt in Quiet Street",1141485,Gisèle And Simon,,Centrum-Oost,52.35871,4.89616,Entire home/apt,125,3,2,2015-10-24,0.02,3,0,0,0363 33C3 B936 3911 FC42
308028,"SunFlower, A Sunny B&B + 2 Bicycles",1141485,Gisèle And Simon,,Centrum-Oost,52.35972,4.8975,Private room,95,3,35,2020-07-28,0.36,3,1,0,0363 33C3 B936 3911 FC42
311124,*historic centre* *bright* *canal view* *jordaan*,1600010,Anke & Robert,,Centrum-West,52.37104,4.87713,Entire home/apt,250,5,84,2021-12-09,0.70,1,315,3,0363 59D8 7D30 6CFA DC81
319985,Elegant Appartement Central Location.,1640702,J,,De Pijp - Rivierenbuurt,52.35669,4.90187,Entire home/apt,161,1,404,2022-03-05,3.37,3,180,54,0363 7D88 E1E8 F521 9A10
327285,beautiful designed ap.+bikes+garden,1672823,Ester,,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,314,2,535,2020-10-19,4.37,2,0,0,0363 8A88 B129 62B5 BD4E
331946,Lovely FAMILY house near Vondelpark,1687595,Sebastiaan,,De Baarsjes - Oud-West,52.3606,4.85739,Entire home/apt,220,2,27,2019-07-21,0.26,1,0,0,0363 A942 21DC C431 1AD1
343094,Amstel Nest - an urban retreat for two,1740785,Rob & Fang,,Oud-Oost,52.35715,4.90926,Private room,76,3,404,2022-02-17,3.37,1,201,14,0363 FC71 F7DB 3AB4 3C42
350271,Luxe boat AMSTERDAM IJBURG!!!,1775032,Agustina,,IJburg - Zeeburgereiland,52.36129,4.98845,Entire home/apt,395,7,3,2018-09-17,0.04,1,358,0,0363 6334 AD6B 47DF B32A
357980,★ STYLISH FAMILY HOME - CITY CENTER,1811745,Marre,,De Baarsjes - Oud-West,52.36348,4.87648,Entire home/apt,245,2,97,2022-02-24,0.80,1,55,13,0363 799F 0610 C059 F9F4
366438,Amsterdam@ city centre & canal view,1849988,Nicolet,,Centrum-Oost,52.36738,4.89671,Private room,125,2,421,2021-11-14,3.49,1,118,5,0363 BD40 0F80 50E7 8478
367107,"IN HISTORIC CENTRE, NEXT TO AMSTEL, PEACEFUL HOME",1853421,Marijn,,Centrum-Oost,52.36263,4.90216,Entire home/apt,182,1,11,2020-01-02,0.14,1,306,0,0363 1761 5C93 2C93 93FE
367491,"Charming,  bright and quiet home center Amsterdam",1855417,Maarten,,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,119,3,72,2022-01-03,0.59,1,0,2,0363 7096 B559 45DB 421C
378523,Freedom on the water!,1901477,Caroline,,Centrum-Oost,52.3742,4.90401,Entire home/apt,320,4,110,2021-09-22,0.95,1,64,6,0363 0D10 7FFD B425 1553
379885,Private Studio Houseboat *BEST VIEW* @Amstel,1907015,Masha,,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,175,3,82,2020-07-14,0.69,1,180,0,0363 3FE4 07B5 85AA 55F8
396125,Room in Jordaan Heart of Amsterdam,1979865,Carolyn,,Centrum-West,52.37824,4.88532,Private room,85,3,574,2020-03-02,4.75,1,0,0,0363 3C64 227D B4E7 3C30
402353,Comfortable design apartment with roof terrace,2008330,Lidy,,Watergraafsmeer,52.35338,4.93407,Private room,119,2,212,2022-02-14,1.80,1,288,17,0363 12D8 9BB2 949E 3227
414865,"Charming house, perfect for two!",2063261,Miranda,,Zuid,52.35043,4.84676,Entire home/apt,110,4,7,2018-04-24,0.09,1,56,0,0363 DC39 26C1 3541 47BF
415619,Sunny Amsterdam East Harbor View,1336633,Stephan,,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,145,2,71,2021-10-31,0.60,1,136,4,0363 09A6 8FFA 6EC4 805F
437757,COOL DESIGN HOUSE with WiFi,2174719,Natalie,,De Pijp - Rivierenbuurt,52.35503,4.90516,Entire home/apt,113,3,132,2022-03-28,1.10,1,2,9,0363 C24E 6CAD 6342 8E17
440992,Charming houseboat near Olympic St.,2191136,Jan,,Zuid,52.341621,4.849049,Entire home/apt,200,3,111,2021-09-28,0.93,1,74,6,0363 6532 4C0A A235 9114
441424,Family house in centre of Amsterdam,2193861,Marco,,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,150,3,34,2021-07-24,0.29,1,15,1,0363B9396B464F7B165A
445660,cosy room with private entrance,2202945,Heleen,,De Baarsjes - Oud-West,52.37001,4.85646,Private room,75,2,412,2022-03-06,3.45,1,212,14,0363 1D15 382F 70B9 6319
450767,Houseboat 'Saturnus' Amsterdam,2238440,Richard En Birgit,,Centrum-Oost,52.37006,4.90081,Entire home/apt,275,3,91,2021-12-20,0.79,2,218,14,0363 DB37 0A9B 68B2 4474
462341,Central 17th Century Unique House,2297302,Milen & Joes,,Centrum-West,52.3739,4.89263,Entire home/apt,171,3,35,2021-10-23,0.42,1,0,4,0363 C83F 9271 BA8F 23ED
481664,Live the life of A'dam on water!,1382273,Eltjo,,Westerpark,52.39134,4.89067,Private room,75,2,455,2022-03-05,4.57,1,202,17,0363FF789E4208718D0D
483779,Spacious studio apartment in A'dam,2395278,Alex,,Slotervaart,52.3509,4.83293,Private room,100,2,37,2017-10-22,0.56,1,0,0,0363 0306 F66C F808 A78D
496953,Luxury design B&B in city centre,2453971,Kim,,De Baarsjes - Oud-West,52.36385,4.87483,Private room,167,1,31,2019-06-04,0.27,2,84,0,0363 A70C E031 9597 F8A8
503629,"Quiet & spacious apt, near Museums & Concertgebouw",2483843,Alban,,Zuid,52.3543,4.87701,Entire home/apt,120,5,11,2019-07-28,0.10,1,0,0,0363 E959 5BC3 BBA6 1C6E
505012,Centre Amsterdam perfect for family,1645998,Djoke,,Centrum-Oost,52.36412,4.88757,Entire home/apt,299,3,60,2019-10-23,0.53,1,163,0,0363 5F8A A57B 18E0 63BB
505650,Stylish Design Apartment,2492723,Irene,,Zuid,52.35482,4.87438,Private room,140,3,132,2022-03-06,1.15,2,260,5,0363 7FD8 55E4 DEOB 30FE
507598,Canal View Apartment! Jordaan Area,2501656,Stephanie,,Centrum-West,52.37694,4.88003,Entire home/apt,600,2,62,2019-06-16,0.53,1,189,0,0363 E6C4 FEF6 F27C DCF5
508433,Amazing views in Amsterdam (2 bedr),1744556,Martien,,Geuzenveld - Slotermeer,52.37166,4.82951,Entire home/apt,304,3,63,2020-01-03,0.53,1,41,0,0363 C955 5D11 514B 9708
515088,Familyfriendly Suite incl breakfast,2536879,Hansje,,Noord-Oost,52.39675,4.99603,Private room,120,2,2,2019-03-10,0.05,1,332,0,0363 0A94 AAA2 B228 0695
515749,unique and luxurious houseboat,2540480,Derk,,Centrum-Oost,52.35902,4.89606,Private room,145,3,181,2018-02-18,1.54,1,299,0,0363CB2056581DF32788
515921,Apartment near centre with amazing view over city,2541099,Anne-Marie,,Zuid,52.35022,4.8525,Entire home/apt,159,3,77,2020-07-17,0.65,1,26,0,0363 676E D52D A47D 768A
517996,Bright Canal house with amazing view! @the Jordaan,2550339,Aemilia,,Centrum-West,52.37827,4.88568,Entire home/apt,320,3,23,2020-03-18,0.20,1,166,0,0363 7EFC D96F 5878 3F49
522471,Beautiful grand appartment (135 m2),2569931,Harriet,,Bos en Lommer,52.3774,4.851,Entire home/apt,180,5,23,2019-08-02,0.21,1,0,0,0363 1139 9247 9E72 640C
528022,Somewhere Else,2594559,Els,,Westerpark,52.39114,4.88846,Private room,100,2,213,2022-03-06,3.23,1,280,11,0363 9289 A94D 5C21 A579
537321,Comfortable apartment perfect location,2639261,Vera,,De Baarsjes - Oud-West,52.37275,4.86189,Entire home/apt,8812,6,32,2022-01-24,0.44,1,7,1,0363 5D25 30AA 5523 4B79
538723,Beautiful ground floor apartment,356740,Dimphy,,Watergraafsmeer,52.354,4.93965,Entire home/apt,140,5,57,2020-01-01,0.48,1,0,0,0363 D990 F92F DECF 88D4
544506,Luxury apartment + private garden,2677807,Sander,,Bos en Lommer,52.37651,4.85825,Entire home/apt,345,4,61,2020-08-18,0.53,1,334,0,0363 6604 0DE9 017B 8D18
549310,Family Apartment with Garden,2699033,Barbara,,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,200,2,47,2021-08-08,0.58,1,7,4,0363 35CD 76C9 04D4 1A21
553514,"B&B WestergasTverblijf , Cosy!",618589,Mirjam,,Westerpark,52.38444,4.86916,Entire home/apt,80,2,162,2020-02-16,1.45,1,66,0,0363 AD82 ADCF 17F3 C3EA
556829,"peaceful stay near city centre,  airport & forrest",2737834,Sophia,,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,129,2,21,2022-02-23,0.18,2,66,1,0363 957A 9061 D805 A3EC
568005,Bright central studio with terrace,2794849,Yasha & Dessi,,Zuid,52.3541,4.8815,Entire home/apt,140,2,55,2017-05-14,0.47,2,127,0,0363 A649 7949 F72D 1DBF
568446,Pretty apt in the center of A'dam,2797260,Noriko,,Centrum-Oost,52.37079,4.90153,Entire home/apt,91,2,106,2021-12-12,0.91,1,0,3,0363 2BD0 289D BF51 4A09
570753,Southern Comfort near Vondelpark,2439449,Henriette,,Zuid,52.34904,4.86765,Private room,75,4,369,2020-03-17,3.15,1,283,0,0363 7215 8083 16CB E805
571029,"Spacious, 2 bedrooms & garden close to the centre!",2810037,Rosa,,De Baarsjes - Oud-West,52.3676,4.85976,Entire home/apt,150,3,10,2018-05-27,0.09,1,0,0,0363 91DE D1D9 B8C9 D74B
575603,Loft right in the city centre,2830952,Henning,,Centrum-Oost,52.36112,4.89462,Entire home/apt,245,5,17,2021-07-26,0.18,2,0,2,0363 6703 A9A1 6C28 ECD5
579851,Private Studio on Spectacular Houseboat,2851886,Sonja,,Westerpark,52.39144,4.88436,Private room,124,2,489,2022-02-15,4.27,1,51,32,0363 74BB 1569 D1B7 ADBE
582382,Amsterdam Family Home,2868026,Emer,,Oud-Noord,52.39442,4.91478,Entire home/apt,170,4,20,2019-12-27,0.17,1,0,0,0363 DAA7 B561 AC39 BB65
588020,Large 3 bedroom apartment surrounde,1759884,Ivan,,Centrum-Oost,52.36918,4.91316,Entire home/apt,310,3,196,2022-01-29,2.28,3,241,20,Exempt
590236,Our Cozy Third floor Home,2912339,Kelli,,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,120,4,40,2020-03-06,0.35,1,184,0,0363 058A D932 3063 B1F7
590681,Beautiful large family garden house Vondelpark,2914846,Lotte,,Zuid,52.34788,4.8506,Entire home/apt,295,2,14,2021-11-28,0.12,1,0,3,0363 9A2B 5A8C 1B13 AF1B
606871,Modern Houseboat | Canal Views! | JORDAAN AREA,3007402,Diewert,,Westerpark,52.37621,4.87075,Private room,72,2,317,2022-03-06,2.88,1,244,34,0363 48AF 9151 13B6 2543
608432,Sleep at Amy's B'n'B Front Room,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,66,1,677,2022-03-06,5.81,2,45,58,0363 AACD 8155 9F76 50DA
613088,Your own cottage in the countryside,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,87,1,378,2021-12-06,3.26,13,337,7,0363 C2FC D0FB 68D9 2F58
623123,Beautiful and spacious apartment with big rooftop,2695123,Janne,,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,450,5,20,2021-08-11,0.17,1,25,1,0363 C125 F449 C407 9F89
627188,Sleep at Amy's B'n'B Garden Room,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,79,1,427,2022-03-06,3.66,2,56,44,0363 AACD 8155 9F76 50DA
627213,"Houseboat near museums, the Pijp, two lovely cats",3113556,Ingmar,,Zuid,52.35094,4.88552,Entire home/apt,100,7,14,2018-06-21,0.12,1,0,0,0363 DDEB 4C21 A90A B9DD
634170,"'Westerpark Sanctuary', Office-Apt. across W-Park.",3078488,Carolina,,Westerpark,52.38388,4.86562,Entire home/apt,109,14,147,2021-12-31,1.27,1,247,4,Exempt
635019,"Beautiful, light apartment with huge garden!",2922757,Fleur,,Bos en Lommer,52.3786,4.84948,Entire home/apt,144,2,73,2021-09-09,0.63,1,17,6,0363 A763 EE89 AC26 A847
653459,"VeryBig luxurious family house A""dam free parking",1634910,Derk,,Buitenveldert - Zuidas,52.32237,4.86024,Entire home/apt,240,6,16,2021-07-31,0.29,1,15,2,0363 05B8 09C7 203A E42A
654931,"A-location, ensuite bathroom, centre - Milkmaid -",3278419,Matthijs,,Centrum-West,52.37167,4.8948,Hotel room,111,1,706,2022-02-27,6.12,2,170,24,0363 4587 2DC3 051C 3FCA
655216,A-location ensuite bathroom centre 'Pearl Earring',3278419,Matthijs,,Centrum-West,52.37098,4.89434,Hotel room,111,1,606,2022-03-06,5.28,2,163,28,0363 4587 2DC3 051C 3FCA
658063,"Superior, 100m2",3317069,Marfi,,De Baarsjes - Oud-West,52.36188,4.87694,Private room,120,3,111,2019-01-13,0.99,1,111,0,ABCD 1234 AB12 89EF A0F9
660856,Large 4 floor art-filled family-friendly townhouse,3336575,Maaike,,Watergraafsmeer,52.3551,4.93262,Entire home/apt,225,4,38,2021-09-23,0.34,1,4,4,0363 528E 3889 FA20 43A1
664697,Design Waterfront flat near station,1406783,Alicia,,Oud-Noord,52.38537,4.90241,Entire home/apt,87,30,63,2018-06-30,0.55,2,314,0,Exempt
667305,"Green, sportive experience in A'dam",3375589,Fred Alexander,,Noord-West,52.41878,4.89397,Entire home/apt,146,5,16,2021-08-17,0.15,1,365,1,0363 1466 FFED D078 9856
679838,Penthouse with roof terrace in Amsterdam centrum,3460384,Bastiaan,,Centrum-Oost,52.36716,4.90462,Entire home/apt,395,3,52,2021-09-13,0.55,1,0,5,0363 0B70 756D 626C F77C
683431,Nice Room near to RAI and downtown,2309485,Ned,,De Pijp - Rivierenbuurt,52.34557,4.8962,Private room,59,1,470,2022-03-07,5.08,1,110,37,0363 0BD4 E0F6 EDD1 59C7
685990,Room privacy near centre Amsterdam,3498674,Nadia,,Geuzenveld - Slotermeer,52.38296,4.83786,Private room,56,4,305,2022-03-06,2.65,2,292,7,0363 E7AB 3034 7C9C 1348
689623,City beach apartment,2272095,Katinka,,Centrum-Oost,52.3737,4.92581,Entire home/apt,120,14,85,2022-02-28,0.79,1,69,3,0363 4EFA 63D8 DADD 844A
690757,SPACIOUS LOFT in 17C CANAL MANSION,3529778,Gijs,,Centrum-West,52.374,4.89902,Private room,159,2,449,2022-03-06,3.92,2,318,28,0363 92E1 9539 83BB 3AA7
693675,2 rooms in beautiful appartment near Vondelpark,3548522,Susanne,,De Baarsjes - Oud-West,52.35925,4.8514,Entire home/apt,95,1,11,2018-09-02,0.11,3,7,0,0363 8350 2AA2 28A1 C258
694850,Quiet room in Amsterdam Center,3556421,Mirjam,,Centrum-West,52.37276,4.89707,Private room,73,2,712,2022-03-06,6.20,1,6,10,0363 D97F BD02 AF62 7D7C
702120,Comfortable apartment near city centre,3505991,Mart,,Westerpark,52.38384,4.87303,Entire home/apt,136,2,25,2020-01-01,0.22,1,66,0,0363 B031 C709 C426 F55D
702894,"Cozy and light in Bos en Lommer, 96 m²",3607736,Elmar,,Bos en Lommer,52.37449,4.84762,Entire home/apt,240,5,85,2020-01-05,0.74,2,0,0,0363 6182 608D 7182 A73D
705509,Amsterdam Sweet Unit Museumplein,3648704,Michael,,Zuid,52.35315,4.87256,Entire home/apt,110,3,261,2021-12-03,2.37,2,38,3,0363 EBCE FBA1 BD42 BA22
713577,Master Bedroom on Canal of Amsterdam City Center,2212219,Patrick & Guus,,Oud-Oost,52.35673,4.90778,Private room,39,1,290,2022-03-05,2.53,1,60,106,0363 98F3 BCE7 CC51 4772
714884,"Sunny, Elegant, Spacious apartment in the Centre",3681248,Lisette,,Centrum-Oost,52.36142,4.91005,Entire home/apt,130,3,24,2017-05-31,0.34,1,0,0,0363 58B5 B19A D382 E2FC
716107,Loft style home nearby city centre,3689867,Marijke,,De Baarsjes - Oud-West,52.36462,4.86824,Entire home/apt,120,2,151,2021-07-25,1.35,1,0,4,0363 0014 1E57 F097 81A5
719623,Canal house right in the Jordaan (center),3713242,Barbara,,Centrum-West,52.38284,4.89007,Entire home/apt,156,4,85,2018-12-31,0.75,2,66,0,0363 5BEE FB55 D645 1695
721291,Sunny apt great location free bikes,3723928,Katarina,,Westerpark,52.37752,4.87086,Private room,72,2,188,2021-12-03,1.65,1,272,4,0363 0457 C25F CA42 36BC
728144,Beautiful loft in center Amsterdam,3775786,Aren,,Centrum-Oost,52.36112,4.89632,Entire home/apt,250,3,124,2022-02-07,1.09,1,0,9,0363 5EC5 F20A E363 206D
728145,Superb loft apartment in de Pijp!,1902079,Martijn,,De Pijp - Rivierenbuurt,52.35344,4.8954,Entire home/apt,250,1,59,2022-03-01,0.52,1,270,6,0363 F5CC 615C 7B38 253B
729260,Great location modern apartment,3788198,Martin,,Centrum-West,52.38079,4.88536,Entire home/apt,150,2,109,2021-08-30,0.96,1,131,3,0363 F6EF 50E3 40EB 1CFB
729317,Suite 2 Stay - studio Beautiful Barok - canal area,3788673,Laurens En Petra,,Centrum-Oost,52.36052,4.89568,Private room,110,3,91,2021-10-23,1.52,2,14,7,0363 EC5F 15FE 498F 9173
730916,Bed & Breakfast in Oud West Area,3267693,Santiago & Tony,,Westerpark,52.3731,4.86859,Private room,85,3,363,2021-12-06,3.21,1,294,9,0363 AC47 89D1 F988 70CA
733654,FAMILY HOME WITH SUNNY PRIVATE GARDEN IN CENTER,3823268,Geerke,,Centrum-Oost,52.37098,4.9227,Entire home/apt,150,5,10,2020-01-02,0.09,1,0,0,0363 14BA 84A0 A482 3B0B
740616,Private Room at our LoveNest in Amsterdam,3846003,Patricia And Carlos,,Centrum-Oost,52.36256,4.9108,Private room,99,3,77,2019-06-15,0.67,1,0,0,0363 52AD E309 9B3D 72F7
741043,Modern  stylish villa: My Amsterdam Houseboat,3877342,Nicole,,Westerpark,52.37654,4.87003,Entire home/apt,495,2,43,2022-03-06,0.39,3,257,4,0363 96BE 3082 7DDB 9575
742160,Sailing ship group stays in Amsterdam,1582128,Jorn,,Centrum-Oost,52.36866,4.92071,Entire home/apt,850,2,113,2020-09-06,1.01,2,222,0,Exempt
744386,Kiki's Garden View Apartment 01,3899684,City Apartments Amsterdam,,Centrum-Oost,52.36063,4.90146,Entire home/apt,220,7,25,2021-09-20,0.26,6,74,3,0363 3A22 0590 779F 37F6
