id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,49,3,285,2021-11-21,1.81,1,62,7,0363 5F3A 5684 6750 D14D
20168,Studio with private bathroom in the centre 1,59484,Alexander,,Centrum-Oost,52.36407,4.89393,Private room,106,1,339,2020-04-09,2.30,2,0,0,0363 CBB3 2C10 0C2A 1E29
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38761,4.89188,Private room,134,2,228,2022-02-20,1.84,1,189,9,0363 974D 4986 7411 88D8
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36775,4.89092,Private room,75,2,379,2022-03-05,2.70,2,146,43,0363 607B EA74 0BD8 2F6F
29051,Comfortable single room,124245,Edwin,,Centrum-Oost,52.36584,4.89111,Private room,55,2,532,2022-03-04,3.98,2,170,53,0363 607B EA74 0BD8 2F6F
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,,Centrum-Oost,52.37168,4.91471,Entire home/apt,240,3,41,2021-08-28,0.29,1,0,2,0363 E76E F06A C1DD 172C
47061,Charming apartment in old centre,211696,Ivar,,De Baarsjes - Oud-West,52.36786,4.87458,Entire home/apt,140,2,185,2021-12-17,1.32,1,206,3,0363 1266 8C04 4133 E6AC
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,187,3,397,2022-03-04,2.87,1,132,29,0363 576A D827 5085 6B83
49790,Luxurous Houseboat-Great Location,227530,Klaas,,De Baarsjes - Oud-West,52.36158,4.86101,Entire home/apt,250,3,105,2021-11-01,0.80,1,286,2,0363 4574 0059 C89C 0671
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.36811,4.88262,Private room,114,2,313,2021-11-28,2.30,1,267,6,0363 22DC 0E52 B70B 0FB8
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,,Centrum-Oost,52.358112,4.897637,Entire home/apt,179,5,62,2021-12-05,0.45,1,16,3,0363 E295 7D15 8420 343E
55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.35597,4.88512,Entire home/apt,149,4,95,2020-01-03,0.70,1,5,0,0363 B5A3 5F63 B032 A320
62015,"Charming, beautifully & sunny place with cat Luna",301340,Jessica,,Oud-Oost,52.36431,4.93122,Entire home/apt,120,2,36,2021-11-14,0.26,1,66,6,0363 B090 499C D757 7F4F
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,,Centrum-West,52.37828,4.8944,Private room,82,3,228,2021-11-01,1.70,4,0,10,0363 4108 6EC3 C2FF 2493
82482,The Backroom - Central private appt,186729,Shawna,,Centrum-West,52.36968,4.88122,Entire home/apt,109,2,906,2022-03-06,6.94,1,183,48,0363 4ADE 41D8 0E67 1563
91535,"Privat room and shared Houseboat ""Ramona"" centre",494281,Michiel,,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,130,1,52,2022-02-27,0.40,1,14,8,0363 74BA 2074 E0CF 1CB8
97221,Beautiful and spacious room,195859,Gianni,,Slotervaart,52.34801,4.83639,Private room,44,2,211,2022-01-22,1.62,2,309,16,0363 BCBA 6311 3268 DC8C
97476,"Spacious, bright apartment near Vondelpark",485930,Rachel,,Zuid,52.35665,4.86363,Entire home/apt,115,14,55,2022-03-27,0.42,1,0,2,0363 2A58 6164 0E7E 3654
137026,Entire house with garden in De Pijp,670266,Ton & Fede,,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,200,2,97,2020-01-03,0.78,1,78,0,0363 67D6 8568 BA8A F738
162467,Modern app. with brand new design bathroom,776296,Nicole,,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,155,3,61,2022-03-02,0.55,1,70,5,0363 C6C3 A2DC 89AC B72B
168769,"SUPERLOCATED Room in  CANALHOUSE, Private bath",436145,Riks,,Centrum-West,52.37956,4.89359,Private room,88,3,268,2021-10-18,2.09,4,0,12,0363 4108 6EC3 C2FF 2493
169356,"Central,Rooftop 360',Zen,Canal-View, Bright,Quiet",806976,Nick,,Centrum-West,52.38104,4.88306,Entire home/apt,195,7,25,2022-03-20,0.19,1,31,3,0363 A281 5E35 1EED A8D9
171054,Spacious apartment next to center,815989,Kamiel,,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,120,3,103,2018-11-28,0.79,1,0,0,0363 BDF7 C0EC 9B88 DECA
179528,Authentic Amsterdam apartment RAI,856540,Pierre,,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,250,21,29,2021-10-31,0.23,2,92,2,0363 1C26 67B4 C610 1758
